BookId,Book_Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,Sales,URLs
B45,A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,"Fantasy, Horror & Science Fiction",Fantasy,Product Bundle,"2,065.00",4.8,18234,37653210,https://www.amazon.in/Court-Thorns-Roses-Paperback-books/dp/1526662221/ref=zg_bs_g_1318163031_d_sccl_10/000-0000000-0000000?psc=1
B46,A Court of Thorns and Roses: Enter the EPIC fantasy worlds of Sarah J Maas with the breath-taking first book in the GLOBALLY BESTSELLING ACOTAR series,Sarah J. Maas,Teen & Young Adult,Romance,Kindle Edition,279.30,4.4,171974,48032338.2,https://www.amazon.in/Court-Thorns-Roses-Sarah-Maas-ebook/dp/B00R32ZP0I/ref=zg_bs_g_67803438031_d_sccl_16/000-0000000-0000000?psc=1
B47,A Das Gopal problems Plus in IIT MATHEMATICS,A Das Gopal,Science & Mathematics,Mathematics,Unknown Binding,350.00,4,92,32200,https://www.amazon.in/Das-Gopal-problems-Plus-MATHEMATICS/dp/B07YKW2R7P/ref=zg_bs_g_4149720031_d_sccl_17/000-0000000-0000000?psc=1
B48,"A First Course in Probability, 10e",Sheldon Ross,Science & Mathematics,Mathematics,Paperback,798.00,4.4,232,185136,https://www.amazon.in/First-Course-Probability-10e/dp/9356064032/ref=zg_bs_g_4149720031_d_sccl_13/000-0000000-0000000?psc=1
B49,A Handbook for Electrical Engineering (6th Edition),MADE EASY EDITORIAL BOARD,Engineering,Electrical & Electronic Engineering,Paperback,367.00,4.3,6,2202,https://www.amazon.in/Handbook-Electrical-Engineering-6th/dp/8119100506/ref=zg_bs_g_4149474031_d_sccl_2/000-0000000-0000000?psc=1
B50,A Handbook of Spiritual Medicine,Ibn Daud,Religion,Islam,Hardcover,"1,199.00",4.8,142,170258,https://www.amazon.in/A-Handbook-of-Spiritual-Medicine/dp/1838049207/ref=zg_bs_g_1318196031_d_sccl_20/000-0000000-0000000?psc=1
B51,A History of Heavy Metal: 'Absolutely hilarious' É?? Neil Gaiman,Andrew O'Neill,"Arts, Film & Photography",Music,Paperback,649.00,4.4,549,356301,https://www.amazon.in/History-Heavy-Metal-Andrew-ONeill/dp/1472241452/ref=zg_bs_g_1318059031_d_sccl_19/000-0000000-0000000?psc=1
B52,A Man Called Ove,Fredrik Backman,Literature & Fiction,Humour,Paperback,222.00,4.6,175588,38980536,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318143031_d_sccl_1/000-0000000-0000000?psc=1
B53,A Mussoorie Mystery,Ruskin Bond,Literature & Fiction,"Crime, Thriller & Mystery",Kindle Edition,149.47,4.1,297,44392.59,https://www.amazon.in/Mussoorie-Mystery-Ruskin-Bond-ebook/dp/B06XRWTY9Z/ref=zg_bs_g_1318161031_d_sccl_16/000-0000000-0000000?psc=1
B54,A Nation of Idiots,Daksh Tyagi,Literature & Fiction,Humour,Paperback,399.00,4.1,478,190722,https://www.amazon.in/Nation-Idiots-Daksh-Tyagi/dp/8194275016/ref=zg_bs_g_1318143031_d_sccl_6/000-0000000-0000000?psc=1
B55,A Phonic Reader- 3 Years to 6 years - Read aloud to children- Level 1- Bedtime Stories ( Set of 6 story books packed in a gift box),Om Books Editorial Team,Children's Books,Education & Reference,Hardcover,533.00,4.5,2580,1375140,https://www.amazon.in/Phonic-Reader-Years-years-children/dp/9384625760/ref=zg_bs_g_67803454031_d_sccl_11/000-0000000-0000000?psc=1
B56,A Problem Book In Mathematical Analysis,G N Berman,Science & Mathematics,Mathematics,Paperback,165.00,4.4,29,4785,https://www.amazon.in/Problem-Book-Mathematical-Analysis/dp/9388127323/ref=zg_bs_g_4149720031_d_sccl_29/000-0000000-0000000?psc=1
B57,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Paperback,98.00,4.5,1485,145530,https://www.amazon.in/Room-Ones-Own-Virginia-Woolf/dp/9350334933/ref=zg_bs_g_1318172031_d_sccl_14/000-0000000-0000000?psc=1
B58,A Shot At History: My Obsessive Journey to Olympic Gold,Abhinav Bindra,Sports,Sporting Events & Organisations,Kindle Edition,167.30,4.7,595,99543.5,https://www.amazon.in/Shot-At-History-Obsessive-Journey-ebook/dp/B00ID32XTW/ref=zg_bs_g_1318275031_d_sccl_15/000-0000000-0000000?psc=1
B59,Ö??ÖùçÖ??ÖùçÖ?¯Öù? / Stree By Acharya Prashant,Acharya Prashant,"Crafts, Home & Lifestyle",Lifestyle & Personal Style Guides,Paperback,229.00,4.7,496,113584,https://www.amazon.in/%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80-Stree-Acharya-Prashant/dp/819479451X/ref=zg_bs_g_1318125031_d_sccl_2/000-0000000-0000000?psc=1
B60,Ö??Ö??Ö?çÖ??Ö?®Ö??Ö?® (Tamil Edition),Ramani Chandran,Romance,Clean & Wholesome,Kindle Edition,280.00,3.9,33,9240,https://www.amazon.in/%E0%AE%A8%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%BF-Tamil-Ramani-Chandran-ebook/dp/B0CT5R4C9W/ref=zg_bs_g_89265408031_d_sccl_7/000-0000000-0000000?psc=1
B61,Ö??Ö??Ö?¯Ö?? Ö??Ö?®Ö?¯Ö?ÊÖ?®Ö??Ö??Ö??! Ö??Ö?ÅÖ??Ö?¯Ö??Ö??Ö?®Ö??Ö??!: Dheera Thiraveyame! Sudaroliye! (Tamil Edition),Surya  Saravanan,Romance,Later in Life,Kindle Edition,300.00,4.3,102,30600,https://www.amazon.in/%E0%AE%A4%E0%AF%80%E0%AE%B0%E0%AE%BE-%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%87-%E0%AE%9A%E0%AF%81%E0%AE%9F%E0%AE%B0%E0%AF%8A%E0%AE%B3%E0%AE%BF%E0%AE%AF%E0%AF%87-Thiraveyame-Sudaroliye-ebook/dp/B0CQWLJV4L/ref=zg_bs_g_89265414031_d_sccl_14/000-0000000-0000000?psc=1
B62,Ö??Ö?úÖ?çÖ??Ö?®Ö?˝Ö?ÊÖ?ÅÖ??Ö?ç Ö??Ö??Ö?®Ö?¶Ö?çÖ?¶Ö??Ö??Ö??Ö??..!!: Thannilavum Thagippatheno..!!! (Tamil Edition),Ö??Ö??Ö?çÖ??Ö??Ö?˙Ö?ç Ö??Ö?ÅÖ?úÖ?? (Santhosh Guna),"Fantasy, Horror & Science Fiction",Fantasy,Kindle Edition,300.00,4.5,309,92700,https://www.amazon.in/%E0%AE%A4%E0%AE%A3%E0%AF%8D%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AE%B5%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%A4%E0%AE%95%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%A4%E0%AF%87%E0%AE%A9%E0%AF%8B-Thannilavum-Thagippatheno-Tamil-ebook/dp/B0BYRZMLZT/ref=zg_bs_g_1318163031_d_sccl_9/000-0000000-0000000?psc=1
B63,Ö??Ö??Ö?®Ö??Ö?çÖ??Ö?ÅÖ??Ö?ç Ö??Ö?ÅÖ?¯Ö?ÅÖ?Ê Ö??Ö??Ö?çÖ??Ö??Ö?çÖ??Ö?®Ö?¯Ö??Ö?ç (Tamil Edition),Ö??Ö?ÅÖ??Ö?®Ö?˝Ö?çÖ??Ö??Ö??Ö?çÖ??Ö?ç Mukhil Geetz,Romance,Later in Life,Kindle Edition,349.00,4.5,21,7329,https://www.amazon.in/%E0%AE%A4%E0%AE%95%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%B5-%E0%AE%A8%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AF%80%E0%AE%A4%E0%AF%8D%E0%AE%B8%E0%AF%8D-Mukhil-ebook/dp/B0CVM2CCWJ/ref=zg_bs_g_89265414031_d_sccl_1/000-0000000-0000000?psc=1
B64,Ö??Ö??Ö??Ö?ÅÖ??Ö?ç Ö??Ö??Ö??Ö??Ö??Ö?çÖ??Ö??Ö?ç : Mothum mokanangal (Tamil Edition),Ö??Ö??Ö??Ö?®Ö?˙Ö??  Ö??Ö??Ö??Ö?ç ,Romance,Action & Adventure,Kindle Edition,499.00,3.9,19,9481,https://www.amazon.in/%E0%AE%AE%E0%AF%8B%E0%AE%A4%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%8B%E0%AE%95%E0%AE%A9%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-Mothum-mokanangal-Tamil-ebook/dp/B0CVJ8WKMX/ref=zg_bs_g_86208349031_d_sccl_2/000-0000000-0000000?psc=1
B65,Ö??Ö??Ö?çÖ??Ö??Ö??Ö?®Ö??Ö?ç Ö??Ö??Ö?çÖ?¶Ö?˝Ö?ç Ö??Ö?˝Ö?¯Ö?®Ö?ÊÖ??Ö??!! (Tamil Edition),Ö??Ö??Ö?çÖ?¯Ö?? Ö??Ö?®Ö??Ö?çÖ??Ö??Ö?¯Ö?çÖ??Ö?ç,Romance,Enemies to Lovers,Kindle Edition,250.00,3.7,48,12000,https://www.amazon.in/%E0%AE%AE%E0%AE%A9%E0%AF%8D%E0%AE%AE%E0%AE%A4%E0%AE%A9%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%86%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AE%B2%E0%AE%B0%E0%AE%BF%E0%AE%B5%E0%AE%B3%E0%AF%8B-Tamil-%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D-ebook/dp/B0CTCRGXM4/ref=zg_bs_g_92041935031_d_sccl_11/000-0000000-0000000?psc=1
B66,Ö??Ö??Ö??Ö??Ö?˝Ö?çÖ?˝Ö??Ö??Ö?ç Ö??Ö?ÊÖ??Ö?ç Ö??Ö?úÖ??Ö?ç: Manamellaam Aval Manam (Tamil Edition),Girija  Shanmugam,Romance,Fantasy,Kindle Edition,350.00,4.2,27,9450,https://www.amazon.in/%E0%AE%AE%E0%AE%A9%E0%AE%AE%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%BE%E0%AE%AE%E0%AF%8D-%E0%AE%85%E0%AE%B5%E0%AE%B3%E0%AF%8D-%E0%AE%AE%E0%AE%A3%E0%AE%AE%E0%AF%8D-Manamellaam-Manam-ebook/dp/B0CG53W3FS/ref=zg_bs_g_2590358031_d_sccl_27/000-0000000-0000000?psc=1
B67,Ö??Ö??Ö??Ö??Ö??Ö?®Ö??Ö?ç Ö??Ö??Ö?¯Ö?®Ö??Ö?? Ö??Ö?ÊÖ??Ö?ç...! (Tamil Edition),Ö??Ö??Ö?˙Ö?ç Ö??Ö??Ö?¯Ö?çÖ??Ö?ÅÖ??Ö?®Ö?˝Ö?ç  Yash Karmugil,Romance,Action & Adventure,Kindle Edition,351.00,4.3,71,24921,https://www.amazon.in/%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AF%8B%E0%AE%A9%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AF%88-Tamil-%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AF%8D-Karmugil-ebook/dp/B0CVFWG536/ref=zg_bs_g_86208349031_d_sccl_1/000-0000000-0000000?psc=1
